Kraj;Rok;Nakl_edu;PKB_per_capita;Stopa_bezr
Wlochy;2008;0,641295;35523,27131;6,72
Wlochy;2009;0,6445709;34628,39721;7,75
Wlochy;2010;0,6306764;35185,29289;8,36
Wlochy;2011;0,6193513;36598,01497;8,36
Wlochy;2012;0,6018897;36486,29679;10,66
Wlochy;2013;0,6276676;36314,6971;12,15
Wlochy;2014;0,6072653;36194,87392;12,68
Wlochy;2015;0,5687661;36899,38521;11,9
Wlochy;2016;0,5426367;39926,95466;11,69
Wlochy;2017;0,5551374;41581,12079;11,21
Wlochy;2018;0,5585754;43123,60575;10,61
Wlochy;2019;;44850,92647;9,95
Wlochy;2020;;41839,99102;9,31
Polska;2008;1,019805;18303,35292;7,12
Polska;2009;1,034234;19254,09228;8,17
Polska;2010;1,0124;21088,61633;9,64
Polska;2011;0,9609058;22827,69814;9,63
Polska;2012;0,9844868;23745,6978;10,09
Polska;2013;1,070534;24567,50617;10,33
Polska;2014;1,050432;25475,50469;8,99
Polska;2015;1,085285;26862,05252;7,5
Polska;2016;0,931963;28322,10698;6,16
Polska;2017;0,9533964;30064,50348;4,89
Polska;2018;0,9441145;31978,53115;3,85
Polska;2019;;34151,79281;3,28
Polska;2020;;34264,75976;3,55
Hiszpania;2008;0,9418286;33263,2724;11,25
Hiszpania;2009;1,018049;32116,00447;17,86
Hiszpania;2010;1,03082;31706,8774;19,86
Hiszpania;2011;1,005349;31867,97324;21,39
Hiszpania;2012;0,9129882;31720,12;24,79
Hiszpania;2013;0,8837213;32434,0032;26,09
Hiszpania;2014;0,8574864;33525,74063;24,44
Hiszpania;2015;0,8518408;34903,12748;22,06
Hiszpania;2016;0,8172237;37286,21343;19,64
Hiszpania;2017;0,8292834;39528,92539;17,22
Hiszpania;2018;0,8178063;40720,1908;15,26
Hiszpania;2019;;42185,58612;14,1
Hiszpania;2020;;38334,61134;15,67
