Kraj;Rok;PKB_per_capita;Stopa_bezr;Nakl_edu
Wlochy;2008;35523,27131;6,72;0,641295
Wlochy;2009;34628,39721;7,75;0,6445709
Wlochy;2010;35185,29289;8,36;0,6306764
Wlochy;2011;36598,01497;8,36;0,6193513
Wlochy;2012;36486,29679;10,66;0,6018897
Wlochy;2013;36314,6971;12,15;0,6276676
Wlochy;2014;36194,87392;12,68;0,6072653
Wlochy;2015;36899,38521;11,9;0,5687661
Wlochy;2016;39926,95466;11,69;0,5426367
Wlochy;2017;41581,12079;11,21;0,5551374
Wlochy;2018;43123,60575;10,61;0,5585754
Wlochy;2019;44850,92647;9,95;
Wlochy;2020;41839,99102;9,31;
Polska;2008;18303,35292;7,12;1,019805
Polska;2009;19254,09228;8,17;1,034234
Polska;2010;21088,61633;9,64;1,0124
Polska;2011;22827,69814;9,63;0,9609058
Polska;2012;23745,6978;10,09;0,9844868
Polska;2013;24567,50617;10,33;1,070534
Polska;2014;25475,50469;8,99;1,050432
Polska;2015;26862,05252;7,5;1,085285
Polska;2016;28322,10698;6,16;0,931963
Polska;2017;30064,50348;4,89;0,9533964
Polska;2018;31978,53115;3,85;0,9441145
Polska;2019;34151,79281;3,28;
Polska;2020;34264,75976;3,55;
Hiszpania;2008;33263,2724;11,25;0,9418286
Hiszpania;2009;32116,00447;17,86;1,018049
Hiszpania;2010;31706,8774;19,86;1,03082
Hiszpania;2011;31867,97324;21,39;1,005349
Hiszpania;2012;31720,12;24,79;0,9129882
Hiszpania;2013;32434,0032;26,09;0,8837213
Hiszpania;2014;33525,74063;24,44;0,8574864
Hiszpania;2015;34903,12748;22,06;0,8518408
Hiszpania;2016;37286,21343;19,64;0,8172237
Hiszpania;2017;39528,92539;17,22;0,8292834
Hiszpania;2018;40720,1908;15,26;0,8178063
Hiszpania;2019;42185,58612;14,1;
Hiszpania;2020;38334,61134;15,67;
