Kraj;Rok;PKB_per_capita;Total fixed assets (gross);Labor force, total;nakl_op;naklady_edu
Czech Republic;2012;29254,73127;42525,3;5269982;0,8404694;0,9713772
Czech Republic;2013;30818,10816;40439,3;5323134;0,9356198;0,8519494
Czech Republic;2014;32502,47535;40092,3;5324487;0,8853807;0,7778439
Czech Republic;2015;33899,28657;44997,4;5337247;1,077835;0,7511527
Czech Republic;2016;36097,70526;44257,9;5388300;0,9713772;0,6845585
Czech Republic;2017;38824,88792;48370,7;5419903;0,8519494;0,681298
Estonia;2012;26190,55266;5143,9;684569;0,9238182;0,9239972
Estonia;2013;27642,58479;5276,2;680794;1,172838;1,234226
Estonia;2014;29135,70512;5161,2;675991;1,033032;1,344084
Estonia;2015;29389,25532;5053,5;686206;1,130234;1,232337
Estonia;2016;31577,06885;5313,1;695233;0,9239972;1,2304
Estonia;2017;33856,18111;6177,3;703706;1,234226;1,073276
Finland;2012;40873,09533;46395;2698827;1,537551;1,695554
Finland;2013;41493,14165;44967;2684110;1,727368;1,659276
Finland;2014;41757,40219;44425;2687528;1,757051;1,629648
Finland;2015;42497,70498;44877;2695567;1,775771;1,592316
Finland;2016;44934,44821;49474;2688740;1,695554;1,537382
Finland;2017;47570,13358;52839;2709253;1,659276;1,435572
Hungary;2012;23206,25512;19197,1;4369588;0,8524974;0,67158
Hungary;2013;24498,65877;21261,9;4403114;0,9360797;0,7795866
Hungary;2014;25642,55668;23388,5;4527225;0,8154577;0,6520242
Hungary;2015;26777,4704;25008,3;4617150;0,9366404;0,5460985
Hungary;2016;27911,66484;22663,8;4685874;0,67158;0,6611874
Hungary;2017;29465,12624;28133,4;4714433;0,7795866;0,7043029
Ireland;2012;46253,4673;34348,9;2245011;1,105962;1,148231
Ireland;2013;47885,30663;33347,4;2263744;1,266234;0,9301711
Ireland;2014;51154,46268;40224;2267426;1,166036;0,8198135
Ireland;2015;69042,76812;63323,8;2283088;1,103075;0,6781964
Ireland;2016;71697,52874;96715,9;2321777;1,148231;0,6650653
Ireland;2017;78655,62619;98733,5;2344215;0,9301711;0,6086942
Italy;2012;36486,29679;297404,8;25033693;0,641295;0,6018897
Italy;2013;36314,6971;277467,2;25171796;0,6445709;0,6276676
Italy;2014;36194,87392;272137,5;25569875;0,6306764;0,6072653
Italy;2015;36899,38521;280342,1;25540323;0,6193513;0,5687661
Italy;2016;39926,95466;291183,5;25812534;0,6018897;0,5426367
Italy;2017;41581,12079;303569,9;25985393;0,6276676;0,5551374
Latvia;2012;21407,51973;5751;1041140;0,8663918;0,8138348
Latvia;2013;22812,91509;5532,9;1020645;0,6751545;0,8444702
Latvia;2014;23803,8094;5385,9;1006084;0,707127;1,031085
Latvia;2015;24961,35468;5372,2;1008427;0,8646631;1,083642
Latvia;2016;26710,1028;4898,7;1006975;0,8138348;0,6740074
Latvia;2017;28650,00776;5558,6;1003671;0,8444702;0,6276921
Netherlands;2012;47272,10302;122505;8961065;0,9983744;1,143302
Netherlands;2013;49241,51784;121237;8987420;1,089515;1,153453
Netherlands;2014;49233,2154;118138;8966340;1,120781;1,15734
Netherlands;2015;50288,59139;152533;9034853;1,125165;1,154288
Netherlands;2016;52288,41508;141675;9051471;1,143302;1,143769
Netherlands;2017;55088,6338;148670;9110882;1,153453;1,128303
Poland;2012;23745,6978;77055;18227655;1,019805;0,9844868
Poland;2013;24567,50617;74257,3;18269724;1,034234;1,070534
Poland;2014;25475,50469;81110,1;18388510;1,0124;1,050432
Poland;2015;26862,05252;86396,1;18315209;0,9609058;1,085285
Poland;2016;28322,10698;76781;18378290;0,9844868;0,931963
Poland;2017;30064,50348;81920,4;18444328;1,070534;0,9533964
Portugal;2012;26438,0163;26631,5;5388428;0,7728194;0,6703711
Portugal;2013;27936,03966;25150,3;5296912;0,8785128;0,7363031
Portugal;2014;28742,44038;26012,7;5240929;0,9102976;0,7698035
Portugal;2015;29660,89607;27886,5;5216570;0,8535207;0,7491929
Portugal;2016;31607,75424;28893,4;5203952;0,6703711;0,7073579
Portugal;2017;33044,71674;32887,7;5248383;0,7363031;0,6994143
Slovak Republic;2012;26967,12536;15001,3;2710897;0,6088505;0,7370668
Slovak Republic;2013;28002,49741;15244,3;2718461;0,6176396;0,7984087
Slovak Republic;2014;28996,86679;15635,5;2724189;0,6175831;0,8090094
Slovak Republic;2015;29919,65967;18971;2739823;0,7282082;1,226328
Slovak Republic;2016;29659,37178;17091,3;2763962;0,7370668;0,6964093
Slovak Republic;2017;30077,84553;17869,4;2762066;0,7984087;0,655232
Spain;2012;31720,12;191038;23582846;0,9418286;0,9129882
Spain;2013;32434,0032;177240;23385043;1,018049;0,8837213
Spain;2014;33525,74063;183515;23181794;1,03082;0,8574864
Spain;2015;34903,12748;194122;23116192;1,005349;0,8518408
Spain;2016;37286,21343;200048;23102718;0,9129882;0,8172237
Spain;2017;39528,92539;216932;23046661;0,8837213;0,8292834
Sweden;2012;45432,43197;97719,6;5036384;1,278797;1,421708
Sweden;2013;46312,39238;99175,5;5100683;1,423215;1,435052
Sweden;2014;47184,66913;101934,4;5143977;1,428514;1,42181
Sweden;2015;49103,13343;108195,6;5186870;1,39363;1,352481
Sweden;2016;50430,25282;112885,6;5252218;1,421708;1,347826
Sweden;2017;51947,95425;120661,5;5337330;1,435052;1,316297
