Kraj;Rok;PKB_per_capita;nakl_op;naklady_edu
Italy;2012;36486,29679;0,641295;0,6018897
Italy;2013;36314,6971;0,6445709;0,6276676
Italy;2014;36194,87392;0,6306764;0,6072653
Italy;2015;36899,38521;0,6193513;0,5687661
Italy;2016;39926,95466;0,6018897;0,5426367
Italy;2017;41581,12079;0,6276676;0,5551374
Italy;2018;43123,60575;0,6072653;0,5585754
Poland;2012;23745,6978;1,019805;0,9844868
Poland;2013;24567,50617;1,034234;1,070534
Poland;2014;25475,50469;1,0124;1,050432
Poland;2015;26862,05252;0,9609058;1,085285
Poland;2016;28322,10698;0,9844868;0,931963
Poland;2017;30064,50348;1,070534;0,9533964
Poland;2018;31978,53115;1,050432;0,9441145
Spain;2012;31720,12;0,9418286;0,9129882
Spain;2013;32434,0032;1,018049;0,8837213
Spain;2014;33525,74063;1,03082;0,8574864
Spain;2015;34903,12748;1,005349;0,8518408
Spain;2016;37286,21343;0,9129882;0,8172237
Spain;2017;39528,92539;0,8837213;0,8292834
Spain;2018;40720,1908;0,8574864;0,8178063
