Kraj;Rok;PKB_per_capita;rz_naklady_proc_rz;rz_naklady_proc_pkb;rz_naklady_stud_proc_pkb;rz_naklady_proc_edu;stopa_bezr
Hiszpania;2000;17900;10,66263008;20,18436;20,18436;21,78937;11,91667
Hiszpania;2001;19000;10,71261024;20,93246;20,93246;22,80482;10,55833
Hiszpania;2002;20000;10,70899963;21,35733;21,35733;22,84219;11,44167
Hiszpania;2003;20600;10,88755035;22,17697;22,17697;23,21864;11,49167
Hiszpania;2004;21400;10,72426033;22,15535;22,15535;22,8942;10,95833
Hiszpania;2005;22600;10,77912045;22,28554;22,28554;22,36546;9,166667
Hiszpania;2006;24400;10,88591003;23,01221;23,01221;22,25303;8,458333
Hiszpania;2007;25600;10,84698963;24,62767;24,62767;22,86417;8,225
Hiszpania;2008;25800;10,93640041;26,80364;26,80364;23,07994;11,26667
Hiszpania;2009;24200;10,63257027;28,60976;28,60976;22,82928;17,86667
Hiszpania;2010;24000;10,56192017;27,99309;27,99309;23,43326;19,875
Hiszpania;2011;23800;10,6181097;27,3279;27,3279;23,43326;21,40833
Hiszpania;2012;23400;9,213410378;23,84988;23,84988;22,30695;24,79167
Hiszpania;2013;23400;9,499910355;23,29205;23,29205;22,43703;26,11667
Hiszpania;2014;24000;9,54349041;22,98794;22,98794;22,49025;24,45
Hiszpania;2015;25100;9,771039963;22,91741;22,91741;22,35801;22,075
Hiszpania;2016;25900;9,973239899;21,81691;21,81691;21,79022;19,65
W¸ochy;2000;22500;9,222499847;25,58481;25,58481;18,49989;10,05
W¸ochy;2001;23200;9,825440407;24,00849;24,00849;16,35727;9,008333
W¸ochy;2002;23500;9,505140305;25,31716;25,31716;18,49989;8,475
W¸ochy;2003;23900;9,640839577;22,40146;22,40146;16,41901;8,433333
W¸ochy;2004;24100;9,388010025;21,60069;21,60069;16,91673;8,05
W¸ochy;2005;24600;9,013730049;21,07472;21,07472;17,2388;7,783333
W¸ochy;2006;25700;9,527190208;22,08651;22,08651;16,98507;6,866667
W¸ochy;2007;26800;8,801930428;20,92153;20,92153;17,67782;6,15
W¸ochy;2008;27400;9,205169678;23,56882;23,56882;18,3255;6,775
W¸ochy;2009;25900;8,867170334;24,34607;24,34607;18,27;7,875
W¸ochy;2010;26400;8,723950386;24,44501;24,44501;18,76402;8,541667
W¸ochy;2011;27000;8,392379761;24,20626;24,20626;19,35506;8,508333
W¸ochy;2012;26600;8,041179657;24,53473;24,53473;19,26296;10,88333
W¸ochy;2013;26000;8,155799866;26,27299;26,27299;19,56552;12,375
W¸ochy;2014;25900;8,006469727;26,27229;26,27229;19,58569;12,825
W¸ochy;2015;26500;8,120429993;25,26641;25,26641;18,59916;12,025
W¸ochy;2016;27700;7,808569908;24,32675;24,32675;19,11673;11,76667
Polska;2000;8900;11,86929989;17,49334;17,49334;14,46334;16,075
Polska;2001;9200;11,83148956;18,02418;18,02418;15,69397;18,30833
Polska;2002;9700;11,88938046;21,06039;21,06039;19,45415;20,03333
Polska;2003;10100;11,64437962;19,66127;19,66127;19,14225;19,75
Polska;2004;10900;12,28658962;21,2374;21,2374;21,23072;19,14167
Polska;2005;11400;12,22227955;21,27606;21,27606;21,76088;17,925
Polska;2006;12000;12,66541004;16,93912;16,93912;18,30544;13,96667
Polska;2007;13300;11,26714993;16,4316;16,4316;19,00887;9,608334
Polska;2008;14200;11,37921047;18,22712;18,22712;20,54401;7,041667
Polska;2009;14400;11,07647991;18,61018;18,61018;21,021;8,116667
Polska;2010;15800;11,06464005;20,43721;20,43721;22,77437;9,675
Polska;2011;16800;10,98486042;20,12839;20,12839;22,82327;9,65
Polska;2012;17300;11,22696972;22,51235;22,51235;23,38739;10,10833
Polska;2013;17500;11,59794044;25,41659;25,41659;24,45544;10,34167
Polska;2014;18000;11,57975006;26,48911;26,48911;24,09996;9,016666
Polska;2015;19100;11,54798031;28,11992;28,11992;25,2831;7,525
Polska;2016;19400;11,28602982;25,41068;25,41068;22,84284;6,191667
